step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
160,4.8433,,1.600000e-04,0.0704,0.7409,1.0988
2,5.1351,,2.000000e-06,0.0700,24.3686,2.7066
51,4.8743,,5.100000e-05,0.0701,1.1092,1.1614
161,4.8490,,1.610000e-04,0.0704,0.7104,0.9925
3,5.1790,,3.000000e-06,0.0700,21.7197,1.0322
52,4.8658,,5.200000e-05,0.0701,1.1836,1.0847
162,4.8670,,1.620000e-04,0.0704,0.6073,1.1168
4,5.1336,,4.000000e-06,0.0700,22.0424,0.8380
53,4.8867,,5.300000e-05,0.0701,1.3984,0.9353
163,4.8567,,1.630000e-04,0.0704,0.6262,1.1154
5,5.1332,,5.000000e-06,0.0700,16.4918,1.0268
54,4.8499,,5.400000e-05,0.0701,0.9850,1.2035
6,5.2013,,6.000000e-06,0.0700,16.3128,1.2131
164,4.8465,,1.640000e-04,0.0704,0.6315,1.5474
55,4.8593,,5.500000e-05,0.0701,1.0163,1.2006
7,5.1259,,7.000000e-06,0.0700,15.0093,1.3910
165,4.8708,,1.650000e-04,0.0704,0.7895,1.6574
56,4.8346,,5.600000e-05,0.0701,0.9883,1.3773
8,5.0768,,8.000000e-06,0.0700,9.9657,1.1440
166,4.8528,,1.660000e-04,0.0704,0.5659,1.3274
57,4.8475,,5.700000e-05,0.0701,1.0176,1.1742
9,5.1369,,9.000000e-06,0.0700,9.6912,1.2741
167,4.8341,,1.670000e-04,0.0704,0.5088,1.6774
58,4.8571,,5.800000e-05,0.0701,0.8997,1.6001
10,5.2141,,1.000000e-05,0.0700,11.4326,1.4335
59,4.8621,,5.900000e-05,0.0701,0.8998,1.3984
11,5.0976,,1.100000e-05,0.0700,10.9761,1.2615
168,4.8473,,1.680000e-04,0.0704,0.4669,1.8630
60,4.8607,,6.000000e-05,0.0701,0.8978,1.3467
12,5.0806,,1.200000e-05,0.0700,9.8949,1.1382
169,4.8218,,1.690000e-04,0.0704,0.5984,1.0913
61,4.8759,,6.100000e-05,0.0701,1.2233,1.4946
13,5.0283,,1.300000e-05,0.0700,10.6420,1.5790
170,4.8422,,1.700000e-04,0.0704,0.4390,1.6118
62,4.8562,,6.200000e-05,0.0701,0.9924,1.9584
14,5.0634,,1.400000e-05,0.0700,10.0378,1.8650
171,4.8441,,1.710000e-04,0.0704,0.5020,1.9415
15,4.9487,,1.500000e-05,0.0700,7.7308,1.0997
63,4.8559,,6.300000e-05,0.0701,0.9022,1.3544
172,4.8622,,1.720000e-04,0.0704,0.6493,1.2883
16,5.0228,,1.600000e-05,0.0700,6.0658,1.1061
64,4.8466,,6.400000e-05,0.0701,0.8254,1.8041
173,4.8463,,1.730000e-04,0.0705,0.4997,1.7936
17,5.0286,,1.700000e-05,0.0700,6.8423,1.5493
65,4.8656,,6.500000e-05,0.0701,0.7928,2.5543
174,4.8433,,1.740000e-04,0.0705,0.4757,2.6376
18,5.0029,,1.800000e-05,0.0700,6.0291,2.2532
66,4.8625,,6.600000e-05,0.0701,0.9058,1.5151
